,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
32,32,2019-03-11,3874.89,3941.99,3849.45,3929.84,32708.55,126998648.6,CDLHIKKAKE_Bull,1.0
33,33,2019-03-12,3888.57,3904.7,3827.23,3874.89,33655.37,130291591.54,CDLSPINNINGTOP_Bull,1.0
34,34,2019-03-13,3878.44,3898.25,3853.06,3888.57,27922.69,108286926.77,NO_PATTERN,0.0
35,35,2019-03-14,3881.44,3922.21,3825.03,3878.44,34554.38,133931876.12,CDLRICKSHAWMAN_Bull,5.0
36,36,2019-03-15,3927.08,3935.1,3876.17,3881.44,32133.02,125588541.02,CDLBELTHOLD_Bull,3.0
37,37,2019-03-16,4027.01,4069.11,3924.98,3927.08,41319.81,166216280.52,CDLBELTHOLD_Bull,1.0
38,38,2019-03-17,3998.0,4030.38,3970.97,4027.01,17033.6,68146133.16,NO_PATTERN,0.0
39,39,2019-03-18,3988.85,4038.99,3964.31,3998.0,27416.92,109428478.54,CDLHIGHWAVE_Bear,2.0
40,40,2019-03-19,4024.14,4032.04,3972.47,3988.85,29686.2,118919147.36,NO_PATTERN,0.0
41,41,2019-03-20,4056.75,4064.95,3995.49,4024.14,36862.09,148490744.9,CDLHIKKAKE_Bear,1.0
42,42,2019-03-21,3996.93,4082.29,3953.53,4056.75,44251.52,178077036.22,NO_PATTERN,0.0
43,43,2019-03-22,4000.84,4018.21,3984.0,3996.93,22671.75,90726555.79,CDLRICKSHAWMAN_Bull,5.0
44,44,2019-03-23,4007.21,4019.36,3982.47,4000.84,18486.22,74094017.72,CDLRICKSHAWMAN_Bull,4.0
45,45,2019-03-24,3994.11,4010.3,3970.35,4007.21,16111.98,64375076.75,CDLHAMMER_Bull,1.0
46,46,2019-03-25,3924.55,4005.29,3887.68,3994.11,34191.84,136398998.18,NO_PATTERN,0.0
47,47,2019-03-26,3942.22,3943.2,3902.52,3924.55,23873.14,93805733.55,NO_PATTERN,0.0
